,City Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,san bartolome,27.92,-15.57,77.0,57,75,23.04,ES,1601315424
323,eltham,-39.43,174.3,44.01,86,78,13.0,NZ,1601315424
324,kuruman,-27.45,23.43,59.0,14,0,13.35,ZA,1601315424
325,krasnovishersk,60.41,57.08,48.16,91,82,2.39,RU,1601315425
326,luderitz,-26.65,15.16,59.68,53,4,27.0,NA,1601315425
327,moindou,-21.69,165.68,64.4,100,100,13.87,NC,1601315425
328,lompoc,34.64,-120.46,64.4,82,90,3.36,US,1601315425
329,kjopsvik,68.1,16.37,55.99,76,59,14.99,NO,1601315425
330,gualeguay,-33.14,-59.31,71.55,38,0,6.38,AR,1601315426
331,shimoda,34.67,138.95,62.01,84,42,1.01,JP,1601315426
332,saldanha,-33.01,17.94,57.2,71,0,10.29,ZA,1601315426
333,ilhabela,-23.78,-45.36,77.38,77,96,2.51,BR,1601315389
334,mae sot,16.72,98.57,74.01,93,100,1.5,TH,1601315427
335,mastic beach,40.77,-72.85,73.99,73,75,10.29,US,1601315319
336,souillac,-20.52,57.52,73.4,83,75,6.93,MU,1601315427
337,cidreira,-30.18,-50.21,66.63,61,48,12.35,BR,1601315427
338,tuy hoa,13.08,109.3,78.22,89,100,6.71,VN,1601315427
339,burns lake,54.23,-125.75,48.56,86,79,4.47,CA,1601315427
340,sarangani,5.4,125.46,84.36,68,90,4.29,PH,1601315427
341,makakilo city,21.35,-158.09,75.2,83,20,3.36,US,1601315374
342,luang prabang,19.89,102.13,74.82,86,100,1.5,LA,1601315343
343,moissala,8.34,17.77,74.64,93,94,0.29,TD,1601315428
344,alekseyevka,50.63,38.69,61.63,38,61,12.84,RU,1601315429
345,santa maria do suacui,-18.19,-42.41,97.14,16,0,6.87,BR,1601315429
346,hidrolandia,-4.41,-40.44,103.28,18,2,8.95,BR,1601315430
347,agirish,61.92,63.02,37.42,77,85,3.24,RU,1601315430
348,pahrump,36.21,-115.98,84.99,17,0,4.0,US,1601315430
349,cabo san lucas,22.89,-109.91,91.99,66,5,4.7,MX,1601315185
350,qujing,25.48,103.78,62.06,93,50,4.61,CN,1601315431
351,bengkulu,-3.8,102.27,76.35,90,59,10.09,ID,1601315431
352,hondo,32.45,130.2,69.64,70,16,3.69,JP,1601315431
353,buritis,-15.62,-46.42,101.3,11,27,6.6,BR,1601315431
354,avarua,-21.21,-159.78,71.6,78,87,5.82,CK,1601315431
355,havelock,34.88,-76.9,84.0,57,20,3.36,US,1601315432
356,barstow,34.9,-117.02,86.0,13,1,4.7,US,1601315432
357,longyearbyen,78.22,15.64,39.2,86,75,8.05,SJ,1601315432
358,henties bay,-22.12,14.28,57.99,79,0,9.71,NA,1601315432
359,asau,46.43,26.4,59.0,88,88,2.08,RO,1601315432
360,bilibino,68.05,166.44,30.83,93,80,1.12,RU,1601315432
361,damietta,31.42,31.81,82.4,74,0,9.17,EG,1601315433
362,gamba,-2.65,10.0,76.01,76,58,6.44,GA,1601315433
363,sao felix do xingu,-6.64,-51.99,97.05,31,14,3.83,BR,1601315433
364,sechura,-5.56,-80.82,73.29,56,50,16.02,PE,1601315433
365,mount isa,-20.73,139.5,59.0,30,0,3.36,AU,1601315204
366,porirua,-41.13,174.85,46.0,82,65,5.01,NZ,1601315433
367,shemonaikha,50.63,81.91,40.15,86,17,4.0,KZ,1601315433
368,aksu,41.12,80.26,60.89,32,24,6.49,CN,1601315434
369,rognan,67.1,15.39,57.99,67,54,21.92,NO,1601315434
370,sabang,5.89,95.32,82.45,77,100,16.89,ID,1601315434
371,lithakia,37.72,20.83,77.0,78,40,8.81,GR,1601315434
372,drochtersen,53.71,9.38,55.4,87,94,2.24,DE,1601315434
373,vanavara,60.34,102.28,39.25,89,100,10.33,RU,1601315435
374,ariquemes,-9.91,-63.04,94.89,38,40,3.09,BR,1601315335
